id,category,role,scores_a,scores_b,mean_a,mean_b,delta_b_minus_a,retrieval_hit_a,retrieval_hit_b,rank_a,rank_b,evidence_hit_a,evidence_hit_b,gold_chunk_recall_at_5_a,gold_chunk_recall_at_5_b,all_gold_chunks_at_5_a,all_gold_chunks_at_5_b,gold_chunk_recall_at_8_a,gold_chunk_recall_at_8_b,all_gold_chunks_at_8_a,all_gold_chunks_at_8_b,sources_changed
svc_reg_01,registration,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,4,2,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_reg_02,registration,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,2,1,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_reg_03,registration,,"[0, 0, 0]","[1, 1, 0]",0,0.6666666666666666,0.6666666666666666,False,True,,2,False,True,0.0,0.5,False,False,0.0,0.5,False,False,True
svc_reg_04,registration,,"[0, 0, 0]","[1, 1, 2]",0,1.3333333333333333,1.3333333333333333,False,True,,5,False,True,0.0,0.5,False,False,0.0,0.5,False,False,True
svc_reg_05,registration,,"[2, 2, 1]","[1, 1, 1]",1.6666666666666667,1,-0.6666666666666667,True,True,1,1,True,True,1.0,1.0,True,True,1.0,1.0,True,True,True
svc_reg_06,registration,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,2,1,False,True,0.0,1.0,False,True,0.0,1.0,False,True,True
svc_sch_01,scholarship,,"[0, 0, 0]","[1, 1, 1]",0,1,1,True,True,1,1,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_sch_02,scholarship,,"[1, 2, 2]","[0, 0, 1]",1.6666666666666667,0.3333333333333333,-1.3333333333333335,True,True,1,1,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_sch_03,scholarship,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,1,1,True,True,0.3333333333333333,0.3333333333333333,False,False,0.3333333333333333,0.3333333333333333,False,False,True
svc_sch_04,scholarship,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,1,1,True,True,0.3333333333333333,0.6666666666666666,False,False,0.3333333333333333,0.6666666666666666,False,False,True
svc_sch_05,scholarship,,"[2, 2, 2]","[1, 0, 0]",2,0.3333333333333333,-1.6666666666666667,True,True,1,1,True,True,0.6666666666666666,0.6666666666666666,False,False,0.6666666666666666,0.6666666666666666,False,False,True
svc_sch_06,scholarship,,"[1, 2, 2]","[0, 1, 0]",1.6666666666666667,0.3333333333333333,-1.3333333333333335,True,True,3,2,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_acad_01,academic,,"[1, 1, 1]","[1, 1, 1]",1,1,0,True,True,4,3,True,True,0.5,0.5,False,False,0.5,0.5,False,False,True
svc_acad_02,academic,,"[2, 2, 2]","[2, 2, 2]",2,2,0,True,True,3,2,True,True,1.0,1.0,True,True,1.0,1.0,True,True,True
