case_id,category,expected_supported,expected_reason,expected_source_ids,legacy_supported,legacy_reason,legacy_source_ids,legacy_label_correct,legacy_reason_correct,legacy_source_ids_correct,legacy_joint_correct,tuned_supported,tuned_reason,tuned_source_ids,tuned_label_correct,tuned_reason_correct,tuned_source_ids_correct,tuned_joint_correct
permission_reversed_denied,permission_reversal,false,semantic_relation_mismatch,[],true,supported,"[""permission#allowed""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_reversed_allowed,permission_reversal,false,semantic_relation_mismatch,[],true,supported,"[""permission#denied""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_matching_allowed,permission_positive_control,true,supported,[],true,supported,"[""permission#allowed""]",true,true,true,true,true,supported,"[""permission#allowed""]",true,true,true,true
permission_matching_denied,permission_positive_control,true,supported,[],true,supported,"[""permission#denied""]",true,true,true,true,true,supported,"[""permission#denied""]",true,true,true,true
comparator_ge_reversed,comparator_reversal,false,semantic_relation_mismatch,[],true,supported,"[""comparator#ge-wrong""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_ge_matching,comparator_positive_control,true,supported,[],true,supported,"[""comparator#ge-right""]",true,true,true,true,true,supported,"[""comparator#ge-right""]",true,true,true,true
comparator_le_reversed,comparator_reversal,false,semantic_relation_mismatch,[],true,supported,"[""comparator#le-wrong""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_le_matching,comparator_positive_control,true,supported,[],true,supported,"[""comparator#le-right""]",true,true,true,true,true,supported,"[""comparator#le-right""]",true,true,true,true
comparator_gt_reversed,comparator_reversal,false,semantic_relation_mismatch,[],true,supported,"[""comparator#gt-wrong""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_gt_matching,comparator_positive_control,true,supported,[],true,supported,"[""comparator#gt-right""]",true,true,true,true,true,supported,"[""comparator#gt-right""]",true,true,true,true
comparator_lt_reversed,comparator_reversal,false,semantic_relation_mismatch,[],true,supported,"[""comparator#lt-wrong""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_lt_matching,comparator_positive_control,true,supported,[],true,supported,"[""comparator#lt-right""]",true,true,true,true,true,supported,"[""comparator#lt-right""]",true,true,true,true
comparator_money_equivalent_reversed,comparator_normalization,false,semantic_relation_mismatch,[],true,supported,"[""comparator#money-reversed""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_percent_spelling_reversed,comparator_normalization,false,semantic_relation_mismatch,[],true,supported,"[""comparator#percent-reversed""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
